""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"
"A0A060HBU1"	-0.0201584565005643	0.0326141859838545	0.0730650046612791	-0.0171241228467405	0.0469897952108736	0.00133380705286585	-0.0159596414251059	-0.0132791292105003	-0.00894040615607214	-0.000376753659785428	0.00992780165233746	0.00127919010479331	0.00530011301827163	0.00374063055436937	-0.00322581512330335	0.0133431073762671	-0.0183746272481528	0.00382344605941183	0.00462822382222498	-0.0122741307676307	-0.00553963877905781	0.00397981239257554	0.00131256255411167	0.015921234307338	-0.00849822396166676	-0.00410764463315149	-0.010125694905361	-0.000240356334379322	-0.021388822774325	0.00856176863877992	-0.0113065186647785	-0.0108314144880652	0.0122129294195099	-0.00874718707370485	-0.00252536338189487	0.00334504679648625	0.0028627493449264	-0.0225385808688825	-0.0559680766569673
"A0A060HBV1"	0.00889769877663259	-0.040228540338082	-0.0284376226453388	-0.0461504318319725	0.0231661228044641	-0.0482496622290114	-0.019938842557657	-0.00429302930721631	-0.0298928457523168	-0.0414027986306051	-0.0169385543156306	0.0106342665616618	-0.0459591405502042	-0.00790985020234437	-0.00105250270110115	0.00890021102948146	-0.0113014608832458	0.0405322774554054	-0.0172129095974046	0.0286005700635094	-0.0677614866588258	0.011555239957001	0.0384194200881786	0.0228696062311843	-0.0198020052125178	-0.015602098205554	0.0316171450270886	0.00886082575994659	0.0370088357545685	-0.00518840980245606	0.0113219760705541	0.000500684707327188	-0.0634651276994278	0.0166951594513103	0.0327737981218541	0.0140381212838783	0.0217144931290798	0.00890991536643808	-0.0769901253794939
"A0A060HBV5"	0.0327401733548318	0.0456610697675035	-0.00125302927170605	0.00864849673325809	0.0310612093347968	0.03030594212347	-0.0479995958943355	-0.00770472391918511	0.0163089687467437	-0.00951896166259944	-0.013505181065054	-0.0140146623890944	-0.0237971666638807	-9.0926682624677e-05	0.0240845698673166	0.0036801258667843	0.0135857233859746	-0.0292430074416862	0.000633137228784133	-0.00841707983509269	-0.00161457073909064	-0.0132604905565839	0.0135531693237485	0.0105054809576641	-0.0292638087627573	0.0115192223581251	0.031489467256869	-0.0299798509247436	0.00381410788208167	0.00439368777727475	-0.00392530330451872	-0.00768790355724883	-0.00396041108808864	0.0273662356393144	-0.00755684473020452	-0.0256043944386108	0.00981587838170487	0.00416689560278613	0.12530418513524
"A0A060HBX4"	0.0123208474215736	-0.0273515203534007	-0.0347393824078751	0.0107829219682521	-0.0346062748923762	-0.0199232585105854	0.0615612833783286	0.00964144624726531	0.00633083870098063	-0.0182095729272919	0.0298545542531324	0.0045287367310536	0.0500962167969561	-0.00608258732334207	0.0101287060466006	-0.0296193263631679	-0.0639315523236847	0.0212754848074771	-0.0275872732898583	0.0102426280642032	0.0154836869758546	0.00775205123350452	-0.0197813673534463	-0.00984286440819069	0.02141491699943	-0.0505032447989988	0.0067821261082516	-0.0830711222600019	-0.00552275216742226	-0.0103562217642159	-0.0776098833331997	0.0632441821306246	0.0497033811672488	-0.0556395671803848	-0.0604383394989499	-0.0237781106307805	-0.0171848200641617	-0.00785061916619953	0.0058822664315035
"A0A060HC10"	0.00521815178907828	0.0266822162652605	0.00629680721303734	0.0223072113019496	-0.0248229513506446	0.0119827085263926	0.0495008652810891	0.027856424385498	0.0547434026062209	-0.0117602462253606	0.0340135061245372	0.0344674107858086	-0.0106152158970795	0.0166583879814893	0.00400478341526282	0.0083063809467768	-0.000159121721812647	0.0601628257717959	0.0480845725424753	0.0143905946298868	-0.00236968282625419	-0.0621963728806328	0.0269907780011314	-0.0309064261306835	0.115185960893151	0.0631458111973515	-0.0151021104836176	0.0079149172332246	0.0062865243331562	-0.0299202484017161	-0.00674548157024167	-0.0450796687882228	-0.0883071200058764	0.0674104722359604	0.0595525183482501	-0.0300204777094673	0.0391069287332451	0.00142697985407317	0.104762892213324
"A0A060HC34"	0.0163650851598798	0.0136970758557156	-0.0411104352872787	-0.0323766967323502	0.0105488414540548	-0.0426939793089798	-0.0228280437314699	0.0289807876461711	2.72243517655761e-05	-0.00872813505000032	-0.0576510341331058	-0.0448332655793406	-0.0239381286715623	-0.0165155405499758	-0.0187726602345463	0.00195797813618416	0.0686990522823296	0.0112228762394867	-0.0409173156913601	0.0262475542786785	-0.0322462101930075	0.0224881523835508	-0.0474098348699917	0.0716525630056292	-0.0437852094723365	0.043148654651884	0.0255580499979723	0.00283293022548543	0.0256769966848827	0.0367828967722808	-0.00314023118126862	-0.0194465588553363	-0.000913278122186077	-0.0463464327974272	0.0240833868437551	-0.0482438074834626	-0.0285900142834377	0.0606267794092719	0.0370657453525478
"A0A060HC45"	-0.0254280330036114	0.00659338573775013	0.00707689273253332	0.00590898973507405	-0.0265528533507709	-0.0177528807634543	-0.0646681849849473	0.0392480386616784	-0.0713162237485764	0.0133520117252574	-0.0264164872059042	-0.0314572403098547	-0.0217677424531172	-0.0306117546920821	0.0167125242795467	-0.0477371140913749	0.00902969404633509	0.0250523783826705	-0.0454972009152919	0.00742696640531148	-0.0123998134390034	0.0298817546911547	0.000184395584535401	0.044646829196676	-0.033885375396199	-0.0104196046167991	-0.0475828619394166	0.0193676251460645	0.0194718850718804	-0.0638363766018543	0.00403882535111069	-0.0085851699917484	-0.0458861659077758	0.0355270122846627	-0.0236338234324653	0.0277474805865134	0.0207805707565498	0.0614952826033494	-0.0213483961003949
"A0A060HC98"	-0.0317655650663897	-0.0298765237525986	-0.00153837270832653	0.0419220255204671	0.0228112446460457	-0.0523262623607145	-0.0152641483583788	-0.0324515944193989	0.00595142435335244	0.00422403127161829	-0.00508944348609484	0.00793342679087475	0.00435473860542669	-0.0115821885345726	0.000673049409830735	0.000259813745830069	0.0210862535511589	-0.0162182054841423	-0.0181486544982211	0.00677719337267259	0.0119838196603298	-0.0523240421862493	0.00514382103587308	0.0186018506081178	0.0102557406010198	-0.00561522354711882	-0.0282824759438261	-0.0022576929479461	0.0299491248428942	0.0286618077128683	-0.00912544950447887	0.0220427883650767	0.0251477699266694	0.0332097479511983	0.0661120799111923	-0.0371594952314597	0.0326453434660583	0.0310162683205916	-0.0906763574401809
"A0A060HCG6"	-0.037919453105991	-0.0159098062623862	-0.00892387107058159	0.0584957454286155	0.0344671958220324	-0.0137631811704249	-0.00966807632896172	-0.0135950291924933	-0.0216742995337335	-0.0127676292067442	-0.00848818860974869	-0.00632598283017051	-0.00302712091817834	0.0152198212717721	-0.0216679715657838	-0.00180285159322064	-0.00759006201581594	0.00986507216572736	0.0139060529680232	-0.00124744423079943	0.00448494549338619	0.0181985655942666	0.0136107389560492	0.0215433202223578	0.0113860747962497	0.0137099636268293	0.0130113139749814	-0.0179899751837807	-0.0155461882232983	0.0109593736735891	-0.000403628868742714	0.00783884127350596	-0.0297971610064885	-0.020475742734968	0.0132804669374661	-0.0065261018583071	-0.0090719983906508	-0.0128360364190729	-0.0450407558352896
"A0A060HCK2"	0.0334551185028315	0.00698430795081741	-0.0478023394715145	-0.00419537206005852	0.0101939053026039	-0.00730305058230236	-0.00461185770302055	-0.0660953127030568	0.000532651474052958	-0.0141003737141313	0.00177132004856384	0.0288848383819545	0.0341307972561163	-0.0248691620865133	0.0374287953095649	0.056009706389122	0.0109977892649627	-0.00959434134034727	-0.0390602814309828	-0.00142916186466841	-0.00730010943292963	0.00258624875758183	-0.00141916494994939	0.0242877191277639	-0.0372697235597098	0.00652721985153476	0.0302292961887414	0.0166402285261319	-0.00637376576776501	-0.000772395224686114	-0.0228569372192954	0.000556646714452661	-0.0253865633810729	0.0406458445728081	-0.0274890172878527	0.00687704699852188	0.0097164538035902	0.00392240167648122	-0.129292643688369
"A0A060HCK4"	-0.0497047345403154	0.00953992917615214	0.0152293244821124	0.00112213027537207	-0.00355156438740843	-0.0111951422437335	-0.0136361168851759	-0.0131246664851538	0.00472080241534088	-0.0017293920781833	0.00475813204127047	-0.025676473685445	0.0136436882312106	-0.0101755894113171	-0.00132339588207992	-0.0106534259936529	-0.010218869768801	-0.00544073280725009	0.000107503693261838	0.0113956433468028	0.0248567579277103	0.00608815407750716	0.00263453825238003	0.0055271930632458	0.0125286356874556	-0.00989609557031125	-0.0180287055351473	0.0162672342345362	0.0141828372840064	0.00674395176475981	0.01796762180031	-0.00359342423273559	-0.0245413271963964	-0.019235195155216	-0.0156423722146823	0.00877617126330639	0.000716304117082671	0.00209104816526324	-0.0357058811728024
