""	"Protein.Code"	"A"	"D"	"G"	"C"	"F"	"B"	"E"	"p_adj"	"Method"	"Locus_Tag"	"sig_check"	"Cluster"	"Max"	"Min"	"Gene_Name"	"Protein_Product"
"A0A060HVC9"	"A0A060HVC9"	1.21683709832287	-0.21604402899168	0.758654510930816	-0.328482875801028	0.934991531658647	-1.42390462878661	-0.942051607333013	0.0443641748388629	"ANOVA"	"NVIE_027170"	"yes"	4	"A"	"B"	"rpoM"	"putative DNA-directed RNA polymerase subunit M"
"A0A060HDW4"	"A0A060HDW4"	1.4755839631419	0.748053322069182	0.574904938443485	-0.984619892094106	0.155317452627752	-0.984619892094106	-0.984619892094106	0.120702640599183	"ANOVA"	"NVIE_006680"	"no"	4	"A"	"C"	"NVIE_006680"	"protein of unknown function"
"A0A060HUM8"	"A0A060HUM8"	1.88444534445664	0.112749372981222	0.25252971137205	-0.0384517912096535	-0.0784834004085388	-1.27893745897756	-0.853851778214158	0.0192193124709007	"ANOVA"	"NVIE_025220"	"yes"	4	"A"	"B"	"NVIE_025220"	"hypothetical protein"
"A0A060HH67"	"A0A060HH67"	1.32006074434982	0.260314181039259	0.440492277612779	-0.254308916893497	0.669711011286601	-0.710811870194857	-1.7254574272001	1.46608031915462e-07	"ANOVA"	"NVIE_005090"	"yes"	4	"A"	"E"	"rps19p"	"30S ribosomal protein S19p"
"A0A060HMT7"	"A0A060HMT7"	1.58099298921332	0.0950969440487814	-0.168042048204663	-0.424611689749977	0.92783233167512	-0.558749970448469	-1.4525185565341	0.0096182792331474	"ANOVA"	"NVIE_003170"	"yes"	4	"A"	"E"	"ribL"	"putative FAD synthase"
"A0A060HH42"	"A0A060HH42"	1.32113619651645	-0.687655047453124	-0.634449700173751	1.07779511227153	0.356112324815417	0.0129440359528871	-1.44588292192941	0.133516673566156	"ANOVA"	"NVIE_004740"	"no"	4	"A"	"E"	"NVIE_004740"	"hypothetical protein"
"A0A060HHA4"	"A0A060HHA4"	1.43979856244294	-0.762625534484611	-0.762625534484611	1.19484265550878	0.415860919986717	-0.762625534484611	-0.762625534484611	0.0345919883307482	"Kruskal-Wallis"	"NVIE_017060"	"yes"	4	"A"	"B"	"NVIE_017060"	"hypothetical protein"
"A0A060HMY3"	"A0A060HMY3"	0.534067571773358	-0.713761316216854	-0.713761316216854	1.86173139971588	0.459246293378176	-0.713761316216854	-0.713761316216854	0.0124379934346687	"ANOVA"	"NVIE_2639"	"yes"	4	"C"	"E"	"NVIE_2639"	"conserved protein of unknown function"
"A0A060HW73"	"A0A060HW73"	-0.0968036837196336	-0.440769801119833	-1.13748787456983	1.71029348476025	0.853105015071155	0.0328057247808752	-0.921142865202989	0.00365283148707461	"ANOVA"	"NVIE_029950"	"yes"	4	"C"	"G"	"NVIE_029950"	"conserved protein of unknown function"
"A0A060HGX9"	"A0A060HGX9"	0.273169617322878	-1.18391658225808	-0.229151712140621	1.54338550358603	0.785697598550564	0.0237806732747093	-1.21296509833548	0.632822240970818	"ANOVA"	"NVIE_004120"	"no"	4	"C"	"E"	"NVIE_004120"	"putative UspA domain protein"
"A0A060HKF5"	"A0A060HKF5"	0.128051331366548	0.796927459946953	-0.683169610778844	0.0640638618205965	1.60331293364334	-0.462365055039484	-1.44682092095911	0.0015391502067202	"ANOVA"	"NVIE_027190"	"yes"	4	"F"	"E"	"NVIE_027190"	"hypothetical protein"
"A0A060HSL6"	"A0A060HSL6"	0.380933695331432	1.24664009434325	-0.440729153681486	-0.0674971119443076	1.19405266313484	-1.14429097313406	-1.16910921404968	0.548227154155148	"ANOVA"	"NVIE_019030"	"no"	4	"D"	"E"	"NVIE_019030"	"conserved protein of unknown function"
"A0A060HPF5"	"A0A060HPF5"	1.05009755879652	0.708157350188519	-0.547496442352932	0.150150023911259	0.976803029618775	-0.72901535385851	-1.60869616630364	0.00201474606104079	"ANOVA"	"NVIE_0897"	"yes"	4	"A"	"E"	"NVIE_0897"	"putative creatinine amidohydrolase"
"A0A060HGZ8"	"A0A060HGZ8"	0.900639850605496	0.887673976626994	-0.684666159019946	-0.0177677815475463	1.06319443081645	-0.578474300524142	-1.5706000169573	0.268130310015227	"ANOVA"	"NVIE_004300"	"no"	4	"F"	"E"	"NVIE_004300"	"putative snRNP Sm-like protein"
"A0A060HQA6"	"A0A060HQA6"	0.268712296452037	0.462964752301918	-1.01063710330913	1.10677864902428	1.19345561214915	-1.01063710330913	-1.01063710330913	0.121838036461236	"ANOVA"	"NVIE_030230"	"no"	4	"F"	"E"	"NVIE_030230"	"hypothetical protein"
"A0A060HSE5"	"A0A060HSE5"	1.03410247779952	0.0877548387638198	-1.00448434691937	0.7146079486405	1.17698777555426	-1.00448434691937	-1.00448434691937	4.37670811351883e-08	"ANOVA"	"NVIE_021290"	"yes"	4	"F"	"G"	"NVIE_021290"	"putative PIN domain-containing protein"
